signals at time               262375: a= 12, b=206, prod=  206, rst=0
signals at time               262455: a= 12, b=207, prod=  207, rst=0
signals at time               262535: a= 12, b=208, prod=  208, rst=0
signals at time               262615: a= 12, b=209, prod=  209, rst=0
signals at time               262695: a= 12, b=210, prod=  210, rst=0
signals at time               262775: a= 12, b=211, prod=  211, rst=0
signals at time               262855: a= 12, b=212, prod=  212, rst=0
signals at time               262935: a= 12, b=213, prod=  213, rst=0
signals at time               263015: a= 12, b=214, prod=  214, rst=0
signals at time               263095: a= 12, b=215, prod=  215, rst=0
signals at time               263175: a= 12, b=216, prod=  216, rst=0
signals at time               263255: a= 12, b=217, prod=  217, rst=0
signals at time               263335: a= 12, b=218, prod=  218, rst=0
signals at time               263415: a= 12, b=219, prod=  219, rst=0
signals at time               263495: a= 12, b=220, prod=  220, rst=0
signals at time               263575: a= 12, b=221, prod=  221, rst=0
signals at time               263655: a= 12, b=222, prod=  222, rst=0
signals at time               263735: a= 12, b=223, prod=  223, rst=0
signals at time               263975: a= 12, b=226, prod=  226, rst=0
signals at time               264055: a= 12, b=227, prod=  227, rst=0
signals at time               264135: a= 12, b=228, prod=  228, rst=0
signals at time               264215: a= 12, b=229, prod=  229, rst=0
signals at time               264295: a= 12, b=230, prod=  230, rst=0
signals at time               264375: a= 12, b=231, prod=  231, rst=0
signals at time               264455: a= 12, b=232, prod=  232, rst=0
signals at time               264535: a= 12, b=233, prod=  233, rst=0
signals at time               264615: a= 12, b=234, prod=  234, rst=0
signals at time               264695: a= 12, b=235, prod=  235, rst=0
signals at time               264775: a= 12, b=236, prod=  236, rst=0
signals at time               264855: a= 12, b=237, prod=  237, rst=0
signals at time               264935: a= 12, b=238, prod=  238, rst=0
signals at time               265015: a= 12, b=239, prod=  239, rst=0
signals at time               265095: a= 12, b=240, prod=  240, rst=0
signals at time               265175: a= 12, b=241, prod=  241, rst=0
signals at time               265255: a= 12, b=242, prod=  242, rst=0
signals at time               265335: a= 12, b=243, prod=  243, rst=0
signals at time               265415: a= 12, b=244, prod=  244, rst=0
signals at time               265495: a= 12, b=245, prod=  245, rst=0
signals at time               265575: a= 12, b=246, prod=  246, rst=0
signals at time               265655: a= 12, b=247, prod=  247, rst=0
signals at time               265735: a= 12, b=248, prod=  248, rst=0
signals at time               265815: a= 12, b=249, prod=  249, rst=0
signals at time               265895: a= 12, b=250, prod=  250, rst=0
signals at time               265975: a= 12, b=251, prod=  251, rst=0
signals at time               266055: a= 12, b=252, prod=  252, rst=0
signals at time               266135: a= 12, b=253, prod=  253, rst=0
signals at time               266215: a= 12, b=254, prod=  254, rst=0
signals at time               266295: a= 12, b=255, prod=  255, rst=0
